unit_id,blood_type,location_type,location_id,expiry_days_remaining
U00001,B+,bloodbank,BB042,2
U00002,O+,hospital,H020,29
U00003,A+,bloodbank,BB070,1
U00004,B+,hospital,H048,42
U00005,O-,bloodbank,BB052,37
U00006,O+,hospital,H004,10
U00007,B+,hospital,H022,32
U00008,A+,bloodbank,BB066,29
U00009,A+,hospital,H026,40
U00010,O-,bloodbank,BB096,13
U00011,A+,bloodbank,BB030,25
U00012,A+,hospital,H008,11
U00013,O+,hospital,H002,19
U00014,A+,hospital,H032,25
U00015,A+,bloodbank,BB031,25
U00016,A+,bloodbank,BB053,27
U00017,A+,bloodbank,BB056,29
U00018,O+,bloodbank,BB050,12
U00019,O+,hospital,H011,2
U00020,B+,hospital,H033,24
U00021,O-,bloodbank,BB099,18
U00022,A+,hospital,H028,39
U00023,B+,hospital,H028,42
U00024,O+,hospital,H013,15
U00025,B+,bloodbank,BB010,7
U00026,O+,hospital,H019,41
U00027,A+,bloodbank,BB001,28
U00028,A+,bloodbank,BB009,19
U00029,A+,hospital,H006,6
U00030,AB+,hospital,H017,16
U00031,O-,bloodbank,BB039,18
U00032,O+,bloodbank,BB025,23
U00033,B+,hospital,H020,15
U00034,O+,bloodbank,BB008,15
U00035,O+,hospital,H026,33
U00036,A+,hospital,H040,6
U00037,AB+,bloodbank,BB066,40
U00038,O+,hospital,H006,26
U00039,O+,hospital,H037,10
U00040,A+,bloodbank,BB034,8
U00041,B+,hospital,H015,11
U00042,B-,hospital,H050,16
U00043,O+,hospital,H026,27
U00044,A+,hospital,H024,18
U00045,O+,bloodbank,BB017,38
U00046,O+,hospital,H031,25
U00047,O+,hospital,H041,25
U00048,O-,bloodbank,BB060,35
U00049,B+,bloodbank,BB048,32
U00050,A+,hospital,H023,12
U00051,AB-,bloodbank,BB023,3
U00052,O+,bloodbank,BB023,12
U00053,O+,bloodbank,BB038,17
U00054,B+,bloodbank,BB053,10
U00055,A+,bloodbank,BB063,10
U00056,A+,bloodbank,BB044,36
U00057,A+,bloodbank,BB011,10
U00058,O+,bloodbank,BB089,7
U00059,A+,bloodbank,BB009,12
U00060,B+,hospital,H015,4
U00061,A+,bloodbank,BB095,8
U00062,O-,hospital,H014,29
U00063,B-,hospital,H021,4
U00064,A+,hospital,H017,25
U00065,O+,bloodbank,BB066,1
U00066,A+,hospital,H042,7
U00067,O+,bloodbank,BB075,35
U00068,O+,bloodbank,BB057,35
U00069,B+,bloodbank,BB071,18
U00070,B+,hospital,H037,5
U00071,B+,hospital,H035,6
U00072,B-,hospital,H043,1
U00073,B+,hospital,H005,10
U00074,B+,hospital,H006,1
U00075,B+,bloodbank,BB031,29
U00076,O+,hospital,H022,36
U00077,AB+,hospital,H025,36
U00078,A+,bloodbank,BB037,13
U00079,O+,hospital,H031,28
U00080,O+,hospital,H002,26
U00081,A+,hospital,H026,15
U00082,B+,bloodbank,BB017,40
U00083,O+,bloodbank,BB073,3
U00084,A+,bloodbank,BB007,17
U00085,AB+,hospital,H032,22
U00086,O-,bloodbank,BB046,28
U00087,O+,hospital,H027,37
U00088,O-,hospital,H013,33
U00089,B+,bloodbank,BB019,27
U00090,B+,hospital,H010,5
U00091,O+,hospital,H014,6
U00092,O+,bloodbank,BB075,42
U00093,O+,bloodbank,BB050,33
U00094,A+,hospital,H039,20
U00095,B+,bloodbank,BB089,37
U00096,B+,bloodbank,BB022,13
U00097,B+,bloodbank,BB009,24
U00098,O+,hospital,H027,7
U00099,O+,bloodbank,BB090,21
U00100,A+,bloodbank,BB058,16
U00101,A+,bloodbank,BB018,22
U00102,O-,hospital,H018,2
U00103,B+,hospital,H040,4
U00104,A+,hospital,H048,1
U00105,O+,hospital,H013,26
U00106,B+,hospital,H048,30
U00107,B+,bloodbank,BB083,34
U00108,A+,bloodbank,BB097,35
U00109,A+,bloodbank,BB074,34
U00110,B+,bloodbank,BB076,20
U00111,A+,bloodbank,BB020,38
U00112,A+,hospital,H037,11
U00113,O+,bloodbank,BB082,13
U00114,O+,bloodbank,BB008,9
U00115,O+,hospital,H023,37
U00116,O+,hospital,H009,38
U00117,B+,bloodbank,BB077,35
U00118,A+,bloodbank,BB083,18
U00119,O+,bloodbank,BB064,37
U00120,O+,hospital,H032,33
U00121,A+,bloodbank,BB042,3
U00122,O+,hospital,H042,41
U00123,B+,hospital,H002,1
U00124,A+,bloodbank,BB044,36
U00125,O-,bloodbank,BB021,5
U00126,B+,hospital,H026,9
U00127,O+,hospital,H014,39
U00128,AB+,bloodbank,BB030,30
U00129,O+,bloodbank,BB019,29
U00130,O+,bloodbank,BB049,27
U00131,O+,hospital,H038,1
U00132,O+,hospital,H024,25
U00133,B+,bloodbank,BB073,9
U00134,B+,bloodbank,BB099,24
U00135,B+,bloodbank,BB088,2
U00136,O+,hospital,H046,42
U00137,O+,bloodbank,BB032,4
U00138,O+,hospital,H022,31
U00139,B+,bloodbank,BB016,19
U00140,A+,hospital,H032,9
U00141,A+,hospital,H008,38
U00142,O+,hospital,H016,35
U00143,B+,hospital,H026,36
U00144,O+,bloodbank,BB092,10
U00145,A+,bloodbank,BB081,21
U00146,O-,bloodbank,BB027,10
U00147,A+,hospital,H026,18
U00148,O+,hospital,H019,36
U00149,A-,bloodbank,BB078,20
U00150,B+,bloodbank,BB035,35
U00151,O+,bloodbank,BB016,31
U00152,O+,hospital,H046,42
U00153,O-,bloodbank,BB001,26
U00154,A+,bloodbank,BB024,3
U00155,B+,bloodbank,BB061,4
U00156,A+,hospital,H015,30
U00157,A-,hospital,H047,18
U00158,A+,hospital,H039,12
U00159,O+,bloodbank,BB047,13
U00160,B+,hospital,H017,25
U00161,O+,bloodbank,BB096,25
U00162,A+,hospital,H022,14
U00163,B+,hospital,H014,18
U00164,O+,bloodbank,BB068,1
U00165,A+,bloodbank,BB041,4
U00166,O+,bloodbank,BB007,31
U00167,B+,hospital,H010,18
U00168,O+,hospital,H035,29
U00169,B+,hospital,H009,2
U00170,O+,bloodbank,BB070,21
U00171,B+,hospital,H049,33
U00172,A+,bloodbank,BB009,38
U00173,B+,bloodbank,BB017,33
U00174,AB-,bloodbank,BB055,41
U00175,O+,bloodbank,BB065,11
U00176,A+,hospital,H003,5
U00177,B+,bloodbank,BB069,9
U00178,A+,hospital,H019,9
U00179,O+,hospital,H024,11
U00180,O+,bloodbank,BB011,13
U00181,A+,bloodbank,BB090,24
U00182,O+,bloodbank,BB022,33
U00183,A+,hospital,H037,35
U00184,A+,bloodbank,BB055,11
U00185,B+,hospital,H021,19
U00186,A+,hospital,H006,11
U00187,A+,hospital,H030,34
U00188,O+,hospital,H015,4
U00189,B+,bloodbank,BB025,40
U00190,B+,hospital,H022,34
U00191,O+,hospital,H027,41
U00192,B+,hospital,H023,28
U00193,O+,bloodbank,BB017,42
U00194,O+,bloodbank,BB074,39
U00195,A+,bloodbank,BB086,15
U00196,O+,bloodbank,BB040,11
U00197,B+,bloodbank,BB018,34
U00198,O+,bloodbank,BB058,16
U00199,A+,bloodbank,BB039,28
U00200,A+,bloodbank,BB042,10
U00201,A+,bloodbank,BB035,9
U00202,O+,bloodbank,BB072,38
U00203,O+,bloodbank,BB042,5
U00204,A+,hospital,H029,22
U00205,O+,hospital,H012,10
U00206,O+,hospital,H004,27
U00207,B+,hospital,H005,40
U00208,O-,bloodbank,BB010,16
U00209,B+,bloodbank,BB087,23
U00210,A+,bloodbank,BB068,26
U00211,O+,hospital,H026,31
U00212,O+,hospital,H036,35
U00213,B+,bloodbank,BB096,24
U00214,A+,bloodbank,BB028,28
U00215,O+,hospital,H029,30
U00216,B+,bloodbank,BB052,2
U00217,B+,hospital,H040,35
U00218,B+,bloodbank,BB024,9
U00219,O+,bloodbank,BB032,36
U00220,O+,hospital,H041,10
U00221,O+,hospital,H012,27
U00222,B+,bloodbank,BB032,18
U00223,A+,hospital,H017,7
