source,target,edge_type
U00001,BB042,LOCATED_AT
U00002,H020,LOCATED_AT
U00003,BB070,LOCATED_AT
U00004,H048,LOCATED_AT
U00005,BB052,LOCATED_AT
U00006,H004,LOCATED_AT
U00007,H022,LOCATED_AT
U00008,BB066,LOCATED_AT
U00009,H026,LOCATED_AT
U00010,BB096,LOCATED_AT
U00011,BB030,LOCATED_AT
U00012,H008,LOCATED_AT
U00013,H002,LOCATED_AT
U00014,H032,LOCATED_AT
U00015,BB031,LOCATED_AT
U00016,BB053,LOCATED_AT
U00017,BB056,LOCATED_AT
U00018,BB050,LOCATED_AT
U00019,H011,LOCATED_AT
U00020,H033,LOCATED_AT
U00021,BB099,LOCATED_AT
U00022,H028,LOCATED_AT
U00023,H028,LOCATED_AT
U00024,H013,LOCATED_AT
U00025,BB010,LOCATED_AT
U00026,H019,LOCATED_AT
U00027,BB001,LOCATED_AT
U00028,BB009,LOCATED_AT
U00029,H006,LOCATED_AT
U00030,H017,LOCATED_AT
U00031,BB039,LOCATED_AT
U00032,BB025,LOCATED_AT
U00033,H020,LOCATED_AT
U00034,BB008,LOCATED_AT
U00035,H026,LOCATED_AT
U00036,H040,LOCATED_AT
U00037,BB066,LOCATED_AT
U00038,H006,LOCATED_AT
U00039,H037,LOCATED_AT
U00040,BB034,LOCATED_AT
U00041,H015,LOCATED_AT
U00042,H050,LOCATED_AT
U00043,H026,LOCATED_AT
U00044,H024,LOCATED_AT
U00045,BB017,LOCATED_AT
U00046,H031,LOCATED_AT
U00047,H041,LOCATED_AT
U00048,BB060,LOCATED_AT
U00049,BB048,LOCATED_AT
U00050,H023,LOCATED_AT
U00051,BB023,LOCATED_AT
U00052,BB023,LOCATED_AT
U00053,BB038,LOCATED_AT
U00054,BB053,LOCATED_AT
U00055,BB063,LOCATED_AT
U00056,BB044,LOCATED_AT
U00057,BB011,LOCATED_AT
U00058,BB089,LOCATED_AT
U00059,BB009,LOCATED_AT
U00060,H015,LOCATED_AT
U00061,BB095,LOCATED_AT
U00062,H014,LOCATED_AT
U00063,H021,LOCATED_AT
U00064,H017,LOCATED_AT
U00065,BB066,LOCATED_AT
U00066,H042,LOCATED_AT
U00067,BB075,LOCATED_AT
U00068,BB057,LOCATED_AT
U00069,BB071,LOCATED_AT
U00070,H037,LOCATED_AT
U00071,H035,LOCATED_AT
U00072,H043,LOCATED_AT
U00073,H005,LOCATED_AT
U00074,H006,LOCATED_AT
U00075,BB031,LOCATED_AT
U00076,H022,LOCATED_AT
U00077,H025,LOCATED_AT
U00078,BB037,LOCATED_AT
U00079,H031,LOCATED_AT
U00080,H002,LOCATED_AT
U00081,H026,LOCATED_AT
U00082,BB017,LOCATED_AT
U00083,BB073,LOCATED_AT
U00084,BB007,LOCATED_AT
U00085,H032,LOCATED_AT
U00086,BB046,LOCATED_AT
U00087,H027,LOCATED_AT
U00088,H013,LOCATED_AT
U00089,BB019,LOCATED_AT
U00090,H010,LOCATED_AT
U00091,H014,LOCATED_AT
U00092,BB075,LOCATED_AT
U00093,BB050,LOCATED_AT
U00094,H039,LOCATED_AT
U00095,BB089,LOCATED_AT
U00096,BB022,LOCATED_AT
U00097,BB009,LOCATED_AT
U00098,H027,LOCATED_AT
U00099,BB090,LOCATED_AT
U00100,BB058,LOCATED_AT
U00101,BB018,LOCATED_AT
U00102,H018,LOCATED_AT
U00103,H040,LOCATED_AT
U00104,H048,LOCATED_AT
U00105,H013,LOCATED_AT
U00106,H048,LOCATED_AT
U00107,BB083,LOCATED_AT
U00108,BB097,LOCATED_AT
U00109,BB074,LOCATED_AT
U00110,BB076,LOCATED_AT
U00111,BB020,LOCATED_AT
U00112,H037,LOCATED_AT
U00113,BB082,LOCATED_AT
U00114,BB008,LOCATED_AT
U00115,H023,LOCATED_AT
U00116,H009,LOCATED_AT
U00117,BB077,LOCATED_AT
U00118,BB083,LOCATED_AT
U00119,BB064,LOCATED_AT
U00120,H032,LOCATED_AT
U00121,BB042,LOCATED_AT
U00122,H042,LOCATED_AT
U00123,H002,LOCATED_AT
U00124,BB044,LOCATED_AT
U00125,BB021,LOCATED_AT
U00126,H026,LOCATED_AT
U00127,H014,LOCATED_AT
U00128,BB030,LOCATED_AT
U00129,BB019,LOCATED_AT
U00130,BB049,LOCATED_AT
U00131,H038,LOCATED_AT
U00132,H024,LOCATED_AT
U00133,BB073,LOCATED_AT
U00134,BB099,LOCATED_AT
U00135,BB088,LOCATED_AT
U00136,H046,LOCATED_AT
U00137,BB032,LOCATED_AT
U00138,H022,LOCATED_AT
U00139,BB016,LOCATED_AT
U00140,H032,LOCATED_AT
U00141,H008,LOCATED_AT
U00142,H016,LOCATED_AT
U00143,H026,LOCATED_AT
U00144,BB092,LOCATED_AT
U00145,BB081,LOCATED_AT
U00146,BB027,LOCATED_AT
U00147,H026,LOCATED_AT
U00148,H019,LOCATED_AT
U00149,BB078,LOCATED_AT
